City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bardai,11.65,7.2333,21.76,93,96,3.17,NG,1724620279
1,hermanus,-34.4187,19.2345,12.27,70,89,5.87,ZA,1724620347
2,udachny,66.4167,112.4,7.07,89,65,2.5,RU,1724620349
3,invercargill,-46.4,168.35,3.34,98,100,1.34,NZ,1724620350
4,bahia de kino,28.8333,-111.9333,33.8,39,3,4.35,MX,1724620351
5,port elizabeth,-33.918,25.5701,12.95,95,100,3.14,ZA,1724620244
6,bredasdorp,-34.5322,20.0403,9.95,80,74,2.5,ZA,1724620353
7,pangody,65.85,74.4859,11.12,80,5,2.74,RU,1724620355
8,opuwo,-18.0607,13.84,20.18,15,0,2.77,NA,1724620356
9,puerto deseado,-47.7503,-65.8938,8.4,61,100,10.13,AR,1724620357
10,timmins,48.4669,-81.3331,26.77,51,80,1.12,CA,1724620079
11,atafu village,-8.5421,-172.5159,28.36,75,34,8.61,TK,1724620360
12,puerto natales,-51.7236,-72.4875,6.25,75,75,2.06,CL,1724620361
13,palora,-1.7,-77.9333,27.06,39,60,1.67,EC,1724620362
14,nha trang,12.25,109.1833,27.0,88,100,1.89,VN,1724620363
15,guerrero negro,27.9769,-114.0611,25.33,54,0,8.04,MX,1724620365
16,yellowknife,62.456,-114.3525,20.23,53,82,2.24,CA,1724620366
17,kismayo,-0.3582,42.5454,24.84,84,43,7.59,SO,1724620367
18,iqaluit,63.7506,-68.5145,7.61,75,100,2.24,CA,1724620183
19,onega,63.9061,38.1404,14.6,78,5,3.86,RU,1724620370
20,adamstown,-25.066,-130.1015,20.75,80,100,10.56,PN,1724620371
21,punta del este,-34.9667,-54.95,9.37,91,100,6.69,UY,1724620372
22,edinburgh of the seven seas,-37.0676,-12.3116,11.62,73,100,8.52,SH,1724620373
23,bilibino,68.0546,166.4372,8.03,65,15,2.12,RU,1724620375
24,ushuaia,-54.8,-68.3,6.81,76,20,3.09,AR,1724620377
25,rio do sul,-27.2142,-49.6431,8.18,64,6,1.25,BR,1724620092
26,georgetown,5.4112,100.3354,24.76,91,100,1.86,MY,1724620379
27,bijie,27.3125,105.2942,17.43,94,24,2.05,CN,1724620381
28,grytviken,-54.2811,-36.5092,-2.59,70,45,4.27,GS,1724620382
29,waitangi,-43.9535,-176.5597,12.12,93,100,3.58,NZ,1724620383
30,kristiansund,63.1115,7.732,13.36,58,75,3.6,NO,1724620384
31,richards bay,-28.783,32.0377,19.7,78,100,1.38,ZA,1724620385
32,kiruna,67.8557,20.2251,6.51,87,37,3.6,SE,1724620387
33,balqash,46.8481,74.995,17.16,43,4,3.15,KZ,1724620388
34,papatowai,-46.5619,169.4708,5.16,85,89,2.48,NZ,1724620389
35,talnakh,69.4865,88.3972,10.85,77,95,2.64,RU,1724620390
36,nar'yan-mar,67.6713,53.087,9.69,93,1,3.26,RU,1724620392
37,carnarvon,-24.8667,113.6333,17.83,59,12,4.98,AU,1724620394
38,ad dilam,23.9915,47.1627,37.28,18,100,4.12,SA,1724620395
39,hatillo,18.4863,-66.8254,29.76,74,13,0.45,PR,1724620396
40,anadyr,64.75,177.4833,6.28,75,100,6.0,RU,1724620398
41,gadzhiyevo,69.2551,33.3362,14.48,80,100,12.0,RU,1724620399
42,saint-pierre,-21.3393,55.4781,19.82,68,0,7.72,RE,1724620400
43,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,72,0,2.0,RU,1724620401
44,shira,54.4911,89.9531,13.32,68,100,5.58,RU,1724620402
45,haiku-pauwela,20.9219,-156.3051,24.47,94,100,6.26,US,1724620404
46,hawaiian paradise park,19.5933,-154.9731,25.73,97,100,6.69,US,1724620405
47,kondoa,-4.9,35.7833,14.4,75,39,1.61,TZ,1724620406
48,thompson,55.7435,-97.8558,24.09,78,75,3.09,CA,1724620407
49,preobrazheniye,42.9019,133.9064,18.65,90,93,3.79,RU,1724620409
50,andzhiyevskiy,44.23,43.08,23.04,53,100,8.0,RU,1724620410
51,ola,59.5833,151.2833,12.67,80,100,1.71,RU,1724620411
52,alesund,62.4723,6.1549,13.2,83,75,7.2,NO,1724620412
53,west island,-12.1568,96.8225,25.99,83,88,4.63,CC,1724620413
54,dryden,49.7833,-92.7503,32.34,45,23,5.4,CA,1724620414
55,betio village,1.358,172.9211,30.02,76,80,5.66,KI,1724620416
56,keren,15.7778,38.4581,22.51,75,6,0.63,ER,1724620417
57,kapuskasing,49.4169,-82.4331,27.58,48,61,0.99,CA,1724620293
58,chernyshevskiy,63.0128,112.4714,8.08,91,44,1.1,RU,1724620419
59,maputo,-25.9653,32.5892,18.82,82,20,0.51,MZ,1724620421
60,les anglais,18.3054,-74.2197,27.97,73,14,1.51,HT,1724620422
61,punta arenas,-53.15,-70.9167,5.06,93,100,3.6,CL,1724620423
62,fale old settlement,-9.3852,-171.2468,28.01,79,8,7.5,TK,1724620424
63,la passe,45.5549,-0.8967,16.02,71,0,5.03,FR,1724620426
64,mersa matruh,31.3525,27.2453,27.04,71,0,2.17,EG,1724620427
65,dingli,35.8614,14.3822,25.09,83,0,3.6,MT,1724620428
66,margaret river,-33.95,115.0667,16.0,78,100,8.81,AU,1724620429
67,college,64.8569,-147.8028,12.89,62,75,2.57,US,1724620431
68,snyder,32.7179,-100.9176,36.19,26,0,5.14,US,1724620432
69,puerto rosario,-24.45,-57.0833,15.11,46,4,2.45,PY,1724620433
70,athni,16.7333,75.0667,21.37,92,100,6.2,IN,1724620434
71,isabela,6.7085,121.9711,26.03,86,100,1.47,PH,1724620436
72,mahajanga,-15.7167,46.3167,22.09,59,76,5.22,MG,1724620437
73,port-aux-francais,-49.35,70.2167,4.45,73,90,14.56,TF,1724620438
74,sekong,-6.3996,106.0252,21.6,93,89,0.71,ID,1724620439
75,tiksi,71.6872,128.8694,3.5,90,100,4.88,RU,1724620440
76,trancas,-26.2314,-65.2803,17.5,29,0,5.07,AR,1724620442
77,taro,-8.3862,115.28,17.9,100,61,0.55,ID,1724620443
78,hobyo,5.3505,48.5268,25.43,80,100,10.91,SO,1724620444
79,stanley,54.868,-1.6985,14.6,85,75,5.14,GB,1724620446
80,bereznik,62.8551,42.7072,12.99,77,0,2.11,RU,1724620447
81,ribeira grande,38.5167,-28.7,24.32,88,40,2.06,PT,1724620448
82,gaiman,-43.2897,-65.4929,13.11,25,100,12.47,AR,1724620450
83,rongelap,11.1635,166.8941,28.35,80,44,5.54,MH,1724620451
84,cidreira,-30.1811,-50.2056,12.36,58,17,8.35,BR,1724620273
85,dawson creek,55.7666,-120.2362,21.15,34,31,7.12,CA,1724620453
86,utrik,11.2278,169.8474,28.54,78,14,7.21,MH,1724620454
87,san pablo villa de mitla,16.9167,-96.4,23.38,61,86,3.0,MX,1724620456
88,kokopo,-4.352,152.2633,24.47,92,100,5.27,PG,1724620457
89,wailua homesteads,22.0669,-159.378,26.44,87,100,9.26,US,1724620458
90,riva del garda,45.8858,10.8412,26.13,86,86,3.2,IT,1724620318
91,qaqortoq,60.7167,-46.0333,4.64,90,100,3.54,GL,1724620460
